restaurantLabel,cityLabel,stateLabel
Express Pizza_Phoenixville,Phoenixville,Pennsylvania
Lucianos_Herndon,Herndon,Virginia
Di Piazza Italian Restraurant_Hialeah,Hialeah,Florida
DeLucias Pizzeria_North Las Vegas,North Las Vegas,Nevada
Calabria''s_Clermont,Clermont,Florida
Monte Carlo Pizza_Harrisburg,Harrisburg,Pennsylvania
Bella Roma Pizzeria Restaurant_Saint Cloud,Saint Cloud,Florida
Michael Angelo''s Pizza_Astoria,Astoria,New_York_(state)
Mia''s Pizza and Eats_Cumming,Cumming,Georgia_(U.S._state)
Pizza Como North_Cherryville,Cherryville,Pennsylvania
Venice Italian Pizza &amp; Subs_Greensboro,Greensboro,North_Carolina
Baker''s Pizza Sports Shack_Bucyrus,Bucyrus,Ohio
Wise Guys Pizzeria_Orange,Orange,California
NY Giant Pizza_San Diego,San Diego,California
Jakes Pizza Rostraver_Belle Vernon,Belle Vernon,Pennsylvania
Wedgewood Pizza_Youngstown,Youngstown,Ohio
Pat''s Pizzeria_West Chester,West Chester,Pennsylvania
New York Pizzeria_Carlsbad,Carlsbad,California
New York Pizzeria_Carlsbad,Carlsbad,New_Mexico
Pizza Haven_New York,New York,New_York_(state)
Spinelli''s Pizza_Louisville,Louisville,Kentucky
Scuottos Pizza Pasta_Fort Lauderdale,Fort Lauderdale,Florida
Puccini''s Pizzeria_Saint Augustine,Saint Augustine,Florida
2 Kings Pizza_Piermont,Piermont,New_York_(state)
Tony &amp; Tina''s Pizza_Bronx,Bronx,New_York_(state)
Antonino Bertolos Pizza_Greenville,Greenville,South_Carolina
Bravo Pizza_Royersford,Royersford,Pennsylvania
Cosmos Restaurant_Fairless Hills,Fairless Hills,Pennsylvania
Tony''s Pizzeria_Greenville,Greenville,South_Carolina
Blue Mountain Smokehouse Pizza_Lincoln,Lincoln,Nebraska
Famous Pizza_Sedona,Sedona,Arizona
Don Filippo_New York,New York,New_York_(state)
Tonys Pizza_Palmerton,Palmerton,Pennsylvania
Hawthorne''s New York Pizza &amp; Bar_Charlotte,Charlotte,North_Carolina
Ypsilanti Pizza Depot_Ypsilanti,Ypsilanti,Michigan
Tony''s New York Pizza_Spring,Spring,Texas
Vitos Pizzeria_Orange Park,Orange Park,Florida
Papa Leo''s_Lockport,Lockport,New_York_(state)
Kings New York Pizza - Martinsburg_Martinsburg,Martinsburg,West_Virginia
Screamin Mimis Pizza And Subs_Savannah,Savannah,Georgia_(U.S._state)
Sams Pizza_Joshua Tree,Joshua Tree,California
Palace Pizza Bartow_Bartow,Bartow,Florida
Mr Ps Pizza_Lewes,Lewes,Delaware
Italianos_West Islip,West Islip,New_York_(state)
Sals Famous NY Pizza_Portsmouth,Portsmouth,Virginia
Tonys Pizza_Brooklyn,Brooklyn,New_York_(state)
Papa Joes_Altamonte Springs,Altamonte Springs,Florida
Coal Vines_Richardson,Richardson,Texas
Rex Pizza_Philadelphia,Philadelphia,Pennsylvania
Grasso''s_Depew,Depew,New_York_(state)
JJ Magoo''s_Los Gatos,Los Gatos,California
Sinapi''s Pizza_Brewster,Brewster,New_York_(state)
Yaghis Pizzeria_Cedar Park,Cedar Park,Texas
Ferraros Pizza And Restaurant_Bradenton,Bradenton,Florida
Mellow Mushroom_Frisco,Frisco,Texas
Gino Gianilli''s Homestyle Pizza Italian Restaurant_Latrobe,Latrobe,Pennsylvania
Famous Original Ray''s Pizza_New York,New York,New_York_(state)
I Love New York Pizza_Durham,Durham,North_Carolina
